300 836124
310 778650
320 748285
330 730329
340 720251
350 715376
360 714789
370 718830
380 730043
390 726508
400 674170
410 611332
420 552006
430 475827
440 326214
450 241605
460 187845
470 160995
480 137391
490 121359
500 107664
510 97473.3
520 88188.2
530 81015.5
540 74036
550 68796
560 63556
570 59080.8
580 55115.4
590 51150
600 48363.3
610 45576.7
620 42790
630 40247.6
640 37705.2
650 35162.7
660 33295.6
670 31717.8
680 30140
690 28532.5
700 26657.5
710 24782.5
720 22907.5
730 21086.1
740 19747
750 18407.8
760 17068.7
770 15729.6
780 14480.2
790 13320.6
800 12161
810 11001.3
820 9841.73
830 8816.72
840 8105.77
850 7394.83
860 6683.88
870 5972.94
880 5261.99
890 4551.05
900 3840.1
910 3129.16
920 2418.21
930 1707.27
940 996.323
950 285.378
