300	4.44E-01
310	5.18E-01
320	7.72E-01
330	1.06E+00
340	9.65E-01
350	9.82E-01
360	9.47E-01
370	1.13E+00
380	1.07E+00
390	1.06E+00
400	1.51E+00
410	1.73E+00
420	1.75E+00
430	1.62E+00
440	1.87E+00
450	2.03E+00
460	2.08E+00
470	2.03E+00
480	2.06E+00
490	1.92E+00
500	1.95E+00
510	1.96E+00
520	1.85E+00
530	1.90E+00
540	1.90E+00
550	1.91E+00
560	1.87E+00
570	1.87E+00
580	1.87E+00
590	1.81E+00
600	1.79E+00
610	1.74E+00
620	1.69E+00
630	1.68E+00
640	1.65E+00
650	1.62E+00
660	1.54E+00
670	1.55E+00
680	1.51E+00
690	1.50E+00
700	1.47E+00
710	1.43E+00
720	1.39E+00
730	1.36E+00
740	1.31E+00
750	1.31E+00
760	1.26E+00
770	1.22E+00
780	1.20E+00
790	1.18E+00
800	1.15E+00
810	1.11E+00
820	1.07E+00
830	1.05E+00
840	1.02E+00
850	9.59E-01
860	9.54E-01
870	9.35E-01
880	9.29E-01
890	9.10E-01
900	8.87E-01
910	8.60E-01
920	8.36E-01
930	8.34E-01
940	8.12E-01
950	7.93E-01
960	0.8151
970	0.7959
980	0.7746
990	0.7541
1000	0.7479
1010	0.7313
1020	0.7041
1030	0.6937
1040	0.6761
1050	0.6622
1060	0.6415
1070	0.6241
1080	0.6247
1090	0.6199
1100	0.6042
1110	0.5906
1120	0.5741
1130	0.5653
1140	0.553
1150	0.5489
1160	0.532
1170	0.5276
1180	0.5239
1190	0.5085
1200	0.5003
1210	0.4882
1220	0.4875
1230	0.4792
1240	0.4653
1250	0.4624
1260	0.453
1270	0.4453
1280	0.4356
1290	0.4255
1300	0.4186
1310	0.4106
1320	0.4016
1330	0.3878
1340	0.379
1350	0.3724
1360	0.3673
1370	0.3599
1380	0.3579
1390	0.3506
1400	0.3427
1410	0.3418
1420	0.3357
1430	0.3257
1440	0.3188
1450	0.3187
1460	0.3156
1470	0.3102
1480	0.3068
1490	0.3015
1500	0.3011
1510	0.2947
1520	0.2866
1530	0.2765
1540	0.273
1550	0.2713
1560	0.2683
1570	0.2645
1580	0.265
1590	0.2405
1600	0.2512
1610	0.24
1620	0.2369
1630	0.2393
1640	0.2262
1650	0.2272
1660	0.2245
1670	0.2225
1680	0.208
1690	0.2105
1700	0.2063
1710	0.2013
1720	0.1993
1730	0.1984
1740	0.1905
1750	0.1858
1760	0.1831
1770	0.1791
1780	0.1756
1790	0.1733
1800	0.1699
1810	0.1686
1820	0.1596
1830	0.1606
1840	0.1562
1850	0.1546
1860	0.1503
1870	0.1508
1880	0.1462
1890	0.1424
1900	0.1397
1910	0.1378
1920	0.1333
1930	0.1313
1940	0.1299
